paper_id,title,authors,year,venue,identifier,url,category,corpus_role,pdf_filename,pdf_sha256,license,redistributable,verified,verified_date
chen2024voicebench,VoiceBench: Benchmarking LLM-Based Voice Assistants,"Chen, Yiming and Yue, Xianghu and Zhang, Chen and Gao, Xiaoxue and Tan, Robby T. and Li, Haizhou",2024,arXiv preprint arXiv:2410.17196,arXiv:2410.17196,,conversational_benchmarks,primary,voicebench-benchmarking-llm-voice-assistants.pdf,a9e2a4c4609f144aab883e9508f5d201a94a62ae444dd4ce67abdf5086a5d556,arXiv-default,false,true,2026-09-23
fdbench15,Full-Duplex-Bench v1.5: Evaluating Overlap Handling for Full-Duplex Speech Models,"Lin, Guan-Ting and Kuan, Shih-Yun Shan and Wang, Qirui and Lian, Jiachen and Li, Tingle and Watanabe, Shinji and Lee, Hung-yi",2025,arXiv preprint arXiv:2507.23159,arXiv:2507.23159,,conversational_benchmarks,primary,full-duplex-bench-v1.5-overlap-handling.pdf,15ef4c908dae321d6ebc87b04e43e02edeb203a907a7b206361c7df5a7f7f88b,arXiv-default,false,true,2026-09-23
fdbench2,Full-Duplex-Bench-v2: A Multi-Turn Evaluation Framework for Duplex Dialogue Systems with an Automated Examiner,"Lin, Guan-Ting and Kuan, Shih-Yun Shan and Shi, Jiatong and Chang, Kai-Wei and Arora, Siddhant and Watanabe, Shinji and Lee, Hung-yi",2025,arXiv preprint arXiv:2510.07838,arXiv:2510.07838,,conversational_benchmarks,primary,full-duplex-bench-v2-multiturn-examiner.pdf,689e2e73b3bbc47cd51a9bfade7c05a2c3035fe364e3a7a6eef57455e2d2a1c4,arXiv-default,false,true,2026-09-23
flexi2025,FLEXI: Benchmarking Full-duplex Human-LLM Speech Interaction,"Ge, Yuan and Chen, Saihan and Xiao, Jingqi and Liu, Xiaoqian and Xiao, Tong and Xiang, Yan and Yu, Zhengtao and Zhu, Jingbo",2025,arXiv preprint arXiv:2509.22243,arXiv:2509.22243,,conversational_benchmarks,primary,flexi-full-duplex-human-llm-interaction.pdf,0e692075de3fd6ffb0ef0c75d9725b4118ae8087ffe6315c9175ddac4c743c99,arXiv-default,false,true,2026-09-23
lin2025fdbench,Full-Duplex-Bench: A Benchmark to Evaluate Full-duplex Spoken Dialogue Models on Turn-taking Capabilities,"Lin, Guan-Ting and Lian, Jiachen and Li, Tingle and Wang, Qirui and Anumanchipalli, Gopala and Liu, Alexander H. and Lee, Hung-yi",2025,arXiv preprint arXiv:2503.04721,arXiv:2503.04721,,conversational_benchmarks,primary,full-duplex-bench-turn-taking-capabilities.pdf,de2b3a6743c36a4dafd98a09263ee7db8e458e475106691e126083117eeb74e0,arXiv-default,false,true,2026-09-23
zhang2026mtrduplex,MTR-DuplexBench: Towards a Comprehensive Evaluation of Multi-Round Conversations for Full-Duplex Speech Language Models,"Zhang, He and Cui, Wenqian and Xu, Haoning and Li, Xiao-Hui and Zhu, Lei and Bai, Haoli and Ma, Shaohua and King, Irwin",2025,arXiv preprint arXiv:2511.10262,arXiv:2511.10262,,conversational_benchmarks,primary,mtr-duplexbench-multiround-eval.pdf,4fef00ae0ca4332f7cb39fc392f2f20eb8e0d241a59636f7f5dbd685f299a17d,arXiv-default,false,true,2026-09-23
shih2026mpbench,MP-Bench: Evaluating Voice Agents as a Multiparty Conversation Participant,"Shih, Yi-Jen and Kuan, Shih-Yun Shan and Lin, Guan-Ting and Chang, Kai-Wei and Arora, Siddhant and Yang, Shu-wen and Mohamed, Abdelrahman and Watanabe, Shinji and Lee, Hung-yi and Harwath, David",2026,arXiv preprint arXiv:2609.13076,arXiv:2609.13076,,conversational_benchmarks,primary,mp-bench-voice-agents-multiparty-conversation.pdf,5884709947e6b6f0cbddee5e56dc9d827547d4ccb2e490e10994234d899d8516,arXiv-default,false,true,2026-09-23
xiong2026msibench,MSI-Bench: Evaluating Multi-Speaker Voice Interaction for Collaborative AI Agents,"Xiong, Chenxu and Shen, Dongming and Tang, Yuzhi and Ma, Wentao and Li, Mu and Smola, Alex",2026,arXiv preprint arXiv:2609.24812,arXiv:2609.24812,,conversational_benchmarks,primary,msi-bench-multispeaker-voice-interaction.pdf,d0e76a7fb1d4c9fecc5f999913d62af23c71308b4ab8d6406e9d7c22e87e8bc2,arXiv-default,false,true,2026-09-23
defossez2024moshi,Moshi: a speech-text foundation model for real-time dialogue,"D{\'e}fossez, Alexandre and Mazar{\'e}, Laurent and Orsini, Manu and Royer, Am{\'e}lie and P{\'e}rez, Patrick and J{\'e}gou, Herv{\'e} and Grave, Edouard and Zeghidour, Neil",2024,arXiv preprint arXiv:2410.00037,arXiv:2410.00037,,end_to_end_s2s,primary,moshi-speech-text-foundation-model.pdf,ea702589e103f8d02b4fbec733c556b08d136c2ccaa013eb48a91a7366c7e390,arXiv-default,false,true,2026-09-23
omniflatten2024,OmniFlatten: An End-to-end GPT Model for Seamless Voice Conversation,"Zhang, Qinglin and Cheng, Luyao and Deng, Chong and Chen, Qian and Wang, Wen and Zheng, Siqi and Liu, Jiaqing and Yu, Hai and Tan, Chaohong and Du, Zhihao and Zhang, Shiliang",2024,arXiv preprint arXiv:2410.17799,arXiv:2410.17799,,end_to_end_s2s,primary,omniflatten-seamless-voice-conversation.pdf,e229fa598701bccd4abc8d76e6cb447ecd6d5590387e4391d968b33b4ebfe449,arXiv-default,false,true,2026-09-23
veluri2024synchronous,Beyond Turn-Based Interfaces: Synchronous LLMs as Full-Duplex Dialogue Agents,"Veluri, Bandhav and Peloquin, Benjamin N and Yu, Bokai and Gong, Hongyu and Gollakota, Shyamnath",2024,arXiv preprint arXiv:2409.15594,arXiv:2409.15594,,end_to_end_s2s,primary,synchronous-llms-full-duplex-dialogue-agents.pdf,d125eeb88e98853a8e673a3490fcf2b5b64dc798efd38987a3188fa908f4e355,arXiv-default,false,true,2026-09-23
mossspeech2025,MOSS-Speech: Towards True Speech-to-Speech Models Without Text Guidance,{SII OpenMOSS Team},2025,arXiv preprint arXiv:2510.00499,arXiv:2510.00499,,end_to_end_s2s,primary,moss-speech-true-speech-to-speech-models.pdf,eca32686d399df9d05eef4701c3f8653cea85c617f565bdc363bac935066ef8a,arXiv-default,false,true,2026-09-23
duplexchat2026,DuplexChat: Constructing Speaker-Separated Full-Duplex Dialogue Speech at Scale for Spoken Dialogue Language Modeling,"Nakata, Wataru and Saito, Yuki and Saruwatari, Hiroshi",2026,arXiv preprint arXiv:2607.04941,arXiv:2607.04941,,end_to_end_s2s,primary,duplexchat-speaker-separated-full-duplex-dialogue.pdf,6f9eac506fe8cdbf8ae169e2373ad37b904beb7e09ea2f43d3bfd9c8ba9d3124,arXiv-default,false,true,2026-09-23
labiausse2026hibikizero,Simultaneous Speech-to-Speech Translation Without Aligned Data,"Labiausse, Tom and Fabre, Romain and Est{\`e}ve, Yannick and D{\'e}fossez, Alexandre and Zeghidour, Neil",2026,arXiv preprint arXiv:2602.11072,arXiv:2602.11072,,end_to_end_s2s,primary,simultaneous-speech-to-speech-translation-no-aligned-data.pdf,a4ddd73500667f1b54fb42ade29c77dd35927146102238aa0bb45b3aa930af83,arXiv-default,false,true,2026-09-23
cui2024speechlm,Recent Advances in Speech Language Models: A Survey,"Cui, Wenqian and Yu, Dianzhi and Jiao, Xiaoqi and Meng, Ziqiao and Zhang, Guangyan and Wang, Qichao and Guo, Yiwen and King, Irwin",2024,arXiv preprint arXiv:2410.03751,arXiv:2410.03751,,not_applicable,positioning,cui2024-speechlm-survey.pdf,1f32bbe73b90e7df33ce5b7dfccea6ea80337c7fbe81ccdef6c2163d1e5958ea,arXiv-default,false,true,2026-09-23
gupta2024s2st,Direct Speech-to-Speech Neural Machine Translation: A Survey,"Gupta, Mahendra and Dutta, Amit and Maurya, Ankit",2024,arXiv preprint arXiv:2411.14453,arXiv:2411.14453,,not_applicable,positioning,gupta2024-direct-s2st-survey.pdf,60ec14be43471abec10d714e1fdfb3bf81c9704c1df759b4f7951a32be161b7d,arXiv-default,false,true,2026-09-23
pedinotti2026structsurvey,STRUCTSURVEY: Structured Agentic Retrieval for Automated Survey Paper Generation,"Pedinotti, Paolo and Santus, Enrico",2026,arXiv preprint arXiv:2607.01243,arXiv:2607.01243,,not_applicable,method,structsurvey-agentic-survey-generation.pdf,cb501ac9e556ffc27e0042a0207f0dfe8923cbaf34848182d61ce1d3695a770f,arXiv-default,false,true,2026-09-23
dekel2023speak,Speak While You Think: Streaming Speech Synthesis During Text Generation,"Dekel, Avihu and Shechtman, Slava and Fernandez, Raul and Haws, David and Kons, Zvi and Hoory, Ron",2023,arXiv preprint arXiv:2309.11210,arXiv:2309.11210,,streaming_synthesis_codecs,primary,speak-while-you-think-streaming-synthesis.pdf,847ff28ef4181609b000c3a53c85eb15f645a53912787077f5292f4659d1f2be,arXiv-default,false,true,2026-09-23
livespeech2024,LiveSpeech: Low-Latency Zero-shot Text-to-Speech via Autoregressive Modeling of Audio Discrete Codes,"Dang, Trung and Aponte, David and Tran, Dung and Koishida, Kazuhito",2024,arXiv preprint arXiv:2406.02897,arXiv:2406.02897,,streaming_synthesis_codecs,primary,livespeech-low-latency-zero-shot-tts.pdf,ce6b13f34fd1e5758b63a7ac146e5cadbff86dae90a438a9763a0a4ac455f44a,arXiv-default,false,true,2026-09-23
dinh2025tts,Benchmarking the Responsiveness of Open-Source Text-to-Speech Systems,"Dinh, Ha Pham Thien and Patamia, Rutherford Agbeshi and Liu, Ming and Cosgun, Akansel",2025,MDPI Computers 14(10) 406 (2025),doi:10.3390/computers14100406,https://mdpi-res.com/d_attachment/computers/computers-14-00406/article_deploy/computers-14-00406-v2.pdf,streaming_synthesis_codecs,primary,benchmarking-responsiveness-open-source-tts-mdpi.pdf,52ad03bb827554083ab0d423b9c129d5488b4e350f659be72d7f67dcb698181e,CC-BY-4.0,true,true,2026-09-23
ctctts2026,CTC-TTS: LLM-Based Dual-Streaming Text-to-Speech with CTC Alignment,"Liu, Hanwen and Yusuyin, Saierdaer and Huang, Hao and Ou, Zhijian",2026,arXiv preprint arXiv:2602.19574,arXiv:2602.19574,,streaming_synthesis_codecs,primary,ctc-tts-dual-streaming.pdf,30bdcf50253dd4e3b38a92e0d1ad6fbe578e94d0ead31ebc2a75f99f9ff270b4,arXiv-default,false,true,2026-09-23
saloev2026mimi,Using the Mimi codec for metalinguistic representations,"Saloev, Artem and Pacquetet, Erin and Ballier, Nicolas",2026,arXiv preprint arXiv:2608.15799,arXiv:2608.15799,,streaming_synthesis_codecs,primary,mimi-codec-metalinguistic-representations.pdf,9950fca90923dd73b0822815d516d546e35f268203374929de61d375619370bc,arXiv-default,false,true,2026-09-23
voicechattts2026,VoiceChat-TTS: A Low-Latency Continuous Speech Synthesis Model for Interactive Agents,"Casanova, Edresson and Kim, Jaehyeon and Fuenmayor, Mariana Graterol and Hussain, Shehzeen and Klimkov, Viacheslav and Mendelev, Valentin and Desta, Mikyas and Neekhara, Paarth and Zelasko, Piotr and Chen, Chen and Rastorgueva, Elena and Hu, Ke and Pasad, Ankita and Yang, Xuesong and Alja'fari, Aya and Roy, Rajarshi and Badlani, Rohan and Roche, Jason and Li, Jason and Chen, Zhehuai",2026,arXiv preprint arXiv:2608.13831,arXiv:2608.13831,,streaming_synthesis_codecs,primary,voicechat-tts-low-latency-continuous-synthesis.pdf,29c59193446daf5314e62c2ba63abca467a5d96435c6c98090b04b2a51479261,arXiv-default,false,true,2026-09-23
ekstedt2022prosody,How Much Does Prosody Help Turn-taking? Investigations using Voice Activity Projection Models,"Ekstedt, Erik and Skantze, Gabriel",2022,arXiv preprint arXiv:2209.05161,arXiv:2209.05161,,turn_taking_vap,primary,prosody-for-turn-taking-vap.pdf,cf997b7027570011cce174815b7dc709fee243bf7a54bcc16643d014e0230f62,arXiv-default,false,true,2026-09-23
ekstedt2022vap,Voice Activity Projection: Self-supervised Learning of Turn-taking Events,"Ekstedt, Erik and Skantze, Gabriel",2022,Interspeech,arXiv:2205.09812,,turn_taking_vap,primary,voice-activity-projection-self-supervised-turn-taking.pdf,212c82beadf6d43a8144c741be841fd9a2bb7d4d68402876dfff698788823752,arXiv-default,false,true,2026-09-23
inoue2024multilingual,Multilingual Turn-taking Prediction Using Voice Activity Projection,"Inoue, Koji and Jiang, Bing'er and Ekstedt, Erik and Kawahara, Tatsuya and Skantze, Gabriel",2024,arXiv preprint arXiv:2403.06487,arXiv:2403.06487,,turn_taking_vap,primary,multilingual-vap-turn-taking.pdf,a12189557e7022189609c710cd8071f359ae4e05a3c755c7e1aceef1b19a86bc,arXiv-default,false,true,2026-09-23
inoue2024realtime,Real-time and Continuous Turn-taking Prediction Using Voice Activity Projection,"Inoue, Koji and Jiang, Bing'er and Ekstedt, Erik and Kawahara, Tatsuya and Skantze, Gabriel",2024,arXiv preprint arXiv:2401.04868,arXiv:2401.04868,,turn_taking_vap,primary,realtime-continuous-vap-turn-taking.pdf,129a900833fb9a775f6abc8869de60f3526a3a489ed6fda5f8b267136a5a8cec,arXiv-default,false,true,2026-09-23
elmers2025triadic,Triadic Multi-party Voice Activity Projection for Turn-taking in Spoken Dialogue Systems,"Elmers, Mikey and Inoue, Koji and Lala, Divesh and Kawahara, Tatsuya",2025,arXiv preprint arXiv:2507.07518,arXiv:2507.07518,,turn_taking_vap,primary,triadic-multiparty-vap-turn-taking.pdf,3ffd3a3e104d0ecbc588a67d5f87770c5e7f177fea7f3712c527727f673736af,arXiv-default,false,true,2026-09-23
vapmultimodal2025,Voice Activity Projection Model with Multimodal Encoders,"Saga, Takeshi and Pelachaud, Catherine",2025,arXiv preprint arXiv:2506.03980,arXiv:2506.03980,,turn_taking_vap,primary,vap-multimodal-encoders.pdf,3a65f816022202745ff376675f7d6f0b5ff03d6139b387f9baf287610621e6bf,arXiv-default,false,true,2026-09-23
hamanaka2026sensor,Sensor-Augmented Voice Activity Projection for Enhancing Turn-Taking Prediction,"Hamanaka, Satoki and Kishino, Yasue and Tsunomori, Yuiko and Mizutani, Shin and Chiba, Yuya and Okoshi, Tadashi and Nakazawa, Jin",2026,"SIGDIAL 2026, ACL Anthology 2026.sigdial-1.12",aclanthology:2026.sigdial-1.12,https://aclanthology.org/2026.sigdial-1.12.pdf,turn_taking_vap,primary,sensor-augmented-vap-turn-taking-sigdial2026.pdf,2bee42fa827e149481369901368ccc0da53f9a7def548fc4751569438c82f140,arXiv-default,false,true,2026-09-23
qi2026muvap,MuVAP: Multimodal Multiparty Voice Activity Projection for Turn-taking Prediction in the Wild,"Qi, Haotian and Skantze, Gabriel",2026,arXiv preprint arXiv:2606.16731,arXiv:2606.16731,,turn_taking_vap,primary,muvap-multimodal-multiparty-voice-activity-projection.pdf,622a5ff70df3307c79cbc57dfcd5e28eb17e45088692eca3ecd97758e0addf66,arXiv-default,false,true,2026-09-23
